POD,Node,Interface,Mode,Speed,Status
1,104,[eth13/16],trunk,inherit,down
1,104,[eth13/5],trunk,inherit,down
1,104,[eth13/6],trunk,inherit,down
1,104,[eth13/22],trunk,inherit,down
1,104,[eth13/15],trunk,inherit,down
1,104,[eth13/17],trunk,inherit,down
1,104,[eth10/31],trunk,inherit,down
1,104,[eth13/32],trunk,inherit,down
1,104,[eth10/4],trunk,inherit,down
1,104,[eth13/24],trunk,inherit,down
1,104,[eth10/27],trunk,inherit,down
1,104,[eth13/18],trunk,inherit,down
1,104,[eth10/30],trunk,inherit,down
1,104,[eth13/19],trunk,inherit,down
1,104,[eth10/26],trunk,inherit,down
1,104,[eth13/20],trunk,inherit,down
1,104,[eth10/28],trunk,inherit,down
1,104,[eth13/10],trunk,inherit,down
1,104,[eth10/23],trunk,inherit,down
1,104,[eth16/11],trunk,inherit,down
1,104,[eth10/9],trunk,inherit,down
1,104,[eth16/29],trunk,inherit,down
1,104,[eth10/16],trunk,inherit,down
1,104,[eth16/13],trunk,inherit,down
1,104,[eth10/6],trunk,inherit,down
1,104,[eth16/7],trunk,inherit,down
1,104,[eth10/22],trunk,inherit,down
1,104,[eth16/12],trunk,inherit,down
1,104,[eth10/15],trunk,inherit,down
1,104,[eth16/8],trunk,inherit,down
1,104,[eth10/17],trunk,inherit,down
1,104,[eth16/2],trunk,inherit,down
1,104,[eth10/32],trunk,inherit,down
1,104,[eth16/1],trunk,inherit,down
1,104,[eth10/24],trunk,inherit,down
1,104,[eth16/31],trunk,inherit,down
1,104,[eth10/18],trunk,inherit,down
1,104,[eth16/3],trunk,inherit,down
1,104,[eth10/19],trunk,inherit,down
1,104,[eth16/4],trunk,inherit,down
1,104,[eth10/20],trunk,inherit,down
1,104,[eth16/27],trunk,inherit,down
1,104,[eth10/10],trunk,inherit,down
1,104,[eth16/30],trunk,inherit,down
1,104,[eth12/24],trunk,inherit,down
1,104,[eth16/26],trunk,inherit,down
1,104,[eth7/11],trunk,inherit,down
1,104,[eth16/28],trunk,inherit,down
1,104,[eth7/29],trunk,inherit,down
1,104,[eth16/25],trunk,inherit,down
1,104,[eth7/14],trunk,inherit,down
1,104,[eth16/23],trunk,inherit,down
1,104,[eth7/13],trunk,inherit,down
1,104,[eth16/9],trunk,inherit,down
1,104,[eth7/7],trunk,inherit,down
1,104,[eth16/16],trunk,inherit,down
1,104,[eth7/12],trunk,inherit,down
1,104,[eth16/5],trunk,inherit,down
1,104,[eth7/8],trunk,inherit,down
1,104,[eth16/6],trunk,inherit,down
1,104,[eth7/2],trunk,inherit,down
1,104,[eth16/22],trunk,inherit,down
1,104,[eth7/1],trunk,inherit,down
1,104,[eth16/15],trunk,inherit,down
1,104,[eth7/31],trunk,inherit,down
1,104,[eth16/17],trunk,inherit,down
1,104,[eth7/3],trunk,inherit,down
1,104,[eth16/32],trunk,inherit,down
1,104,[eth7/4],trunk,inherit,down
1,104,[eth7/27],trunk,inherit,down
1,104,[eth16/18],trunk,inherit,down
1,104,[eth7/30],trunk,inherit,down
1,104,[eth16/19],trunk,inherit,down
1,104,[eth7/26],trunk,inherit,down
1,104,[eth16/20],trunk,inherit,down
1,104,[eth7/28],trunk,inherit,down
1,104,[eth16/21],trunk,inherit,down
1,104,[eth7/25],trunk,inherit,down
1,104,[eth9/11],trunk,inherit,down
1,104,[eth16/10],trunk,inherit,down
1,104,[eth9/5],trunk,inherit,down
1,104,[eth8/5],trunk,inherit,down
1,104,[eth8/6],trunk,inherit,down
